movie,user_review_permalink,user_review,sentiment
Lootcase,https://www.imdb.com/review/rw5955475/,"Great entertaining and comedy with thrill...
Was not bored while watching..Recommended for all... Good movie 👌👌 superb..
Kunal Khemu was at his best..Vijay ji was great as usual.. Gajraj Rao ji also was at his best..",negative
Lootcase,https://www.imdb.com/review/rw5956408/,"I saw a lot of critics have given not so good rating. Going by what we are witnessing with the likes of Rajeev Masand, relying on critics is disastrous. My rating for the movie is a complete 10/10! It's an awesome movie and great performances by all the actors-Kunal as usual with his epic comic timing, Ranvir as the diabolical cop, Vijay Raaz as the nature loving Don, all of them have given their best. It's a laugh riot right from the beginning. Maybe they could have avoided the songs but that can be pardoned. Go for it guys you won't be disappointed. You will thoroughly enjoy the movie",positive
Khuda Haafiz,https://www.imdb.com/review/rw5992782/,"Movie is above average, full of action pack thriller by VJ. The story line is also good.
Story revolve around IT engineer (VJ)'s wife lost her job during 2008 recession and planned to go abroad and she has been abducted there, and VJ is trying to find her.
Watch it at least once for action thriller, good action of VJ and Annu kapoor. Do not expect more of marshal art stunt by Vidhyut",negative
Khuda Haafiz,https://www.imdb.com/review/rw6032394/,"The film deserves an 8 but i am generous with a 10. As a fan of Vidyut, i enjoyed this film.
The name Vidyut Jamwal has become synonym with action.
Aft Iko Uwais n Scott Adkins, he is my fav action star.
The film has ample amt of action, gory stabbings, sun soaked settings, decent acting n direction.
It has no hand held shaky cam stuff n no poorly lit scenes.
The brothel action sequence is brutal with lottuva gory stabbings, the teeth scene will make u squirm, the elbow breaking scene is brtual n the villain from Don 2 is intimidating.",positive
Gunjan Saxena: The Kargil Girl,https://www.imdb.com/review/rw5984695/,Very boring movie and very bad acting by jhanvi kapoor. 1 star is only for pankaj tripathi sir,negative
Gunjan Saxena: The Kargil Girl,https://www.imdb.com/review/rw5984731/,"Not watching this would be a better tribute to the Kargil hero ,Gunjan saxsena.",positive
Unkahee,https://www.imdb.com/review/rw6134040/,"They just wasted a good cast, trying to make short film in one room is turn out to disastrous, avoid watching at any cost.School kids can get to know the poor suspense.",negative
Unkahee,https://www.imdb.com/review/rw6128807/,Enjoyed the performances of all actors. Very well done film by the director. Difficult to make a film in one room! Brilliantly woven storyline. Totally enjoyed the film till the end.,positive
Class of 83,https://www.imdb.com/review/rw6014504/,Not any interesting story. just took some facts and made a movie featuring none other than Bobby deol. And he without reading or anything just in the rush of the OTT platform signed it. This movie is worth a miss.,negative
Class of 83,https://www.imdb.com/review/rw6013850/,Trust Me Bobby Deol Best Performanc.. Very Stong Story You Never Feel Boring.. Newcomers Actors Acting showed be surprise you.. Last is this best crime thriller movie this time for everyon..,positive
Bulbbul,https://www.imdb.com/review/rw5850689/,"7.5/10
Bulbbul is a unique story circling around a girl who's married to an older man and goes to a Haveli. 20 years later, she's a respected Thakurayan but what follows after is a well written but predictable mystery.
The movie is great in all aspects. I loved the performances of all the actors. But I think the character of bulbbul could have been developed better and there'd have been twists in the tale.Nevertheless a great watch!!!",negative
Bulbbul,https://www.imdb.com/review/rw5851580/,"This movie is what Netflix needed and infact what Our movie industry needed.
Its intense, gripping and has a sense of purpose.
The actors portray their roles exceedingly well.
Mainstream movie industry in Bombay should take a cue from this.",positive
Angrezi Medium,https://www.imdb.com/review/rw5689748/,"The film's title doesn't suit the film.
The film is slightly over-dramatic and if toned down, could have been a much more beautiful film.Irrfan is at his usual best apart from certain scenes where he is beyond Irrfan as well.
Deepak is brilliant as usual.
Pankaj has a cameo and that was the sad part.
But it's Radhika Madan who steals the show more. Oh you beauty, what a performance. I can't believe it's the same girl who took on the role in the movie 'Patakha'. I have fallen for her.The film's story isn't any sort of an extraordinary journey of characters but the screenplay is definitely a roller coaster ride of emotions. A well made 'Bollywood' film.
Let us respect the film and be true to the ratings irrespective of the loss of Irrfan. A movie worth your time.",negative
Angrezi Medium,https://www.imdb.com/review/rw5690122/,"Honestly writing this review, just to say goodbye to the legend himself irrfan. We will miss you to the eternity. Please come back. Bollywood will be incomplete without you...",positive
Atkan Chatkan,https://www.imdb.com/review/rw6065285/,A perfect Inspirational tale of 5 kids achieving so many things without having proper resources....Music By Sivamani ji Makes the music Vast And Beautiful ....a must watch Movie,negative
Atkan Chatkan,https://www.imdb.com/review/rw6065719/,I really appreciate the screenplay. After a long time there has been a movie that you can see with family.,positive
Shakuntala Devi,https://www.imdb.com/review/rw5954819/,"Whats wrong with bollywood??? Without any masala they cant make a biopic? Misson Mangal was ruined with same drama... Why everything have to be so dramatic? Learn from ""The Man Who Knew Infinity""
Not watching this movie will be a real tribute to Shakuntala Devi.",negative
Shakuntala Devi,https://www.imdb.com/review/rw5954568/,"Shakuntala Devi.Anu Menon.2020Based on the life journey of profoundly known Human computer aka Shakuntala Devi, the film tries to fit in her 84 glorious years in 120 minutes screen time. The film stabs to touch major life milestones of her life from her genius mathematics career to conflict with her own daughter and to her dilemma in life to her flawed rapport with her husband.But the film fails to bring out her psyche, mental vows and keeps spinning around her analogous achievements throughout. Many of her vital scenes are mere caricaturish portrayal to make it look breezy and to reflect her sense of humor with no depth in it. No doubt Balan tries hard with her accents, body language, hiatuses but still the film lacks in the clarity of thought.",positive
Baaghi 3,https://www.imdb.com/review/rw5532336/,"Best acting from tiger Shroff...
Change my mind @gauravpandey
170r ka ticket ...
Usse accha 1 month ka Brazzers premium lo",negative
Baaghi 3,https://www.imdb.com/review/rw5529992/,"#FinalVerdictThe biggest problem with Baaghi 3 is that there's hardly any storyline in the film. Sajid Nadiadwala's adaptation is lame and it rests on a wafer-thin plot. What could've been an exhilarating thriller, with pulse-pounding moments, ends up being a run of the mill saga, courtesy a half-baked screenplay (Farhad Samji). Since Baaghi 3 goes beyond the shores of India, director Ahmed Khan and his team of writers (Sparsh Khetarpal, Tasha Bhambra, Madhur Sharma) could've used their imagination and packed the film with moments that would've made your jaws fall on your knees. Baaghi 3 is a big film in all respects - big stars, big canvas, big expenditure on VFX, big expectations. Sadly, it's a big, big, big letdown as well.The experience with Baaghi 3 is like, you enter a posh restaurant, waiting for a sumptuous meal to be served, but what's served on your plate is vada-pau. Baaghi 3 takes you back to the 1970s Bollywood, when illogical situations, blood and gore, for no rhyme or reason, were the main ingredients that made the junta break into taalis. Sorry, the formula doesn't work anymore! Seriously, what were director Ahmed Khan, Sajid Nadiadwala (story adaptation) and Farhad Samji (screenplay & dialogues) thinking when they went ahead with this apology of a script? It's perfectly okay to pay homage to the masala films of yore, but the new interpretation has to make some sense at least. The one thing that you realize after watching Baaghi 3 is, no amount of gloss, glam and top-notch stars can ever substitute for a riveting script. Great stars, great styling and great visuals work as long as the script is great.Farhad Samji's screenplay is a complete mess. In fact, if at all there would be Razzies in Bollywood, Farhad Samji should be nominated proto for coming up with a slipshod, brainless and witless screenplay. What saddens your heart is the fact that Sajid Nadiadwala and Fox Star Studios, the producers of Baaghi 3, have spared no efforts in giving the film a spectacular look. The vision is perfect, but how about narrating an absorbing and attention-grabbing story? You remember Baaghi 3 for its striking visuals, not storyline. It's like embellishing priceless and precious jewels on a mannequin. The fight becomes too Bollywoodish as the hero eliminates an entire army of terrorists, is difficult to gulp! Perhaps, director Ahmed Khan's intentions are right, to make a hard-hitting film that marries realism and fiction beautifully, but the writing indulges in too many cinematic liberties and that's precisely why Baaghi 3 goes off target.However, lovers of action fares are in for a treat, since the stunts, action and chase sequences in Baaghi 3 are truly captivating. Sure, a few sequences aren't for the faint-hearted, but you can't help but put your hands together for these sequences and the man behind those death-defying stunts. Coupled with top-notch cinematography (Santhana Krishnan Ravichandran) and stylish action (Ram Chella-Laxman Chella, Kecha Khamphakdee) the film begins to grow as reel after reel unspools. But, alas, the film goes for a toss in the second hour. Things actually stagnate as the hero turns into super-hero and combats an army of villains on land, sea and air. Director Ahmed Khan and his team of writers seem to have substituted action for content and that's the most glaring flaw. In fact, you feel that the director and screenplay writers must've decided to go on a vacation in the second hour, entrusting the responsibility on the stunt directors to conclude the second hour.Baaghi 3 is soaked in high-voltage drama and action, with a consistent undercurrent of tension. As a matter of fact, there's an overdose of action in the film, though, I must admit, a few action pieces are deftly executed. But the absence of a riveting and absorbing screenplay looms large in the post-interval portions. Sure, some sequences do hit you hard, but the writing tilts heavily towards been-there-seen-that kind of situations persistently, promising little or no surprise as the plot unravels. The background score (Julius Packiam) enhances the impact, while the dialogue (Farhad Samji) are power-packed at times, but plain mediocre at places. The film's music is awful but thankfully, there aren't too many songs.Director Ahmed Khan tries to camouflage the defect (lacklustre screenplay) with stylish execution, hair-raising stunts, eye-filling visuals, but let's not forget that the moviegoer wants to listen to a captivating story at the end of the day. Everything else is secondary! The film goes on and on and on with unwanted scenes galore (editing: Rameshwar S. Bhagat), the outdated love angle and the lenggggggthy fight sequences. Director Ahmed Khan seems to have taken the audience for granted. He has concentrated more on giving the film a slick look than narrating a gripping story and this fact reverberates at several points in the film. There's no denying that Baaghi 3 bears the stamp of an upmarket product all through, but how one wishes the director and the writers would've ensured that the film has a power-packed screenplay to offer as well.Baaghi 3 belongs to Tiger Shroff completely. No two opinions on that. Take Tiger out of this film and the movie is a big zero. He's the lifeline of this project and his performance will be loved by the masses. Shraddha Kapoor looks gorgeous and acts very well. Riteish Deshmukh is relegated to the backseat. What did Riteish see in this role? Ankita Lokhande's character lacks meat. Jackie Shroff and Vijay Varma are alright. Jaideep Ahlawat and Jameel Khoury evoke terror that one would associate with their characters. They are fantastic.To sum up, Baaghi 3 is regressive cinema with a capital R. The film has some engrossing moments in the first half, that's about it. The post-interval portions are an absolute downer. The plot is formulaic, while the screenplay is riddled with cinematic liberties. Fans of Tiger Shroff might patronize the movie; however, the aam junta might not take a liking to it. At the box-office, the film will embark on a strong start, but it doesn't have the merits to sustain after the initial curiosity subsides. Baaghi 3 fails as a film.",positive
Guilty,https://www.imdb.com/review/rw5534671/,As a girl i feel this movie concept is totally wrong . The girl is falling on the guy and basically inviting him to bed and when he starts to do the same and she says no and then it suddenly becomes #metoo movement. What a wrong justification this was .,negative
Guilty,https://www.imdb.com/review/rw5533383/,"Guilty lacks the seriousness of Pink and Section 375. A college student tags her college mate in a MeToo post and he files defamation case against her. His girlfriend believes him and the guy's counsel investigates the matter.
It could have turned into a wonderful mystery, if not a powerful film that talks about sexual assaults. But, it turns into a messy attempt by an new filmmaker. Since, it is just a defamation case, all the seriousness that we had in Pink and Section 375 is just missing here.
The college students in this film have nothing to do besides taking drugs and churning out bad songs. Had it been a police investigation, it would have been engaging. A detailed court session is also missing here. What we get instead is a five minute long scene inside a court.
Kiara at last finds out that his boyfriend is indeed guilty and reveals about him during a music fest in the college. Then she goes on to give a monologue rather than let the victim speak. Also, it is clear evident that she is struggling to act. Instead of becoming a superb commentary on sexual assaults and how the victims don't get a chance to speak out, this film becomes a teen drama about kids smoking weed and kissing inside classroom even when the professor is taking lesson.",positive
Gulabo Sitabo,https://www.imdb.com/review/rw5821808/,I would not recommend this movie. There is no story and movie has no end. It extremely boring. Please dont watch.,negative
Gulabo Sitabo,https://www.imdb.com/review/rw5817086/,The movie is quite intresting and very much comedy,positive
Yaara,https://www.imdb.com/review/rw5983582/,I was very excited to watch this amazing cast to perform their excellence on the screen.,negative
Yaara,https://www.imdb.com/review/rw5983295/,I was surprised to see that two men helped build this gang by Vidyut Jammwal and Amit Sadh.,positive
Tiki Taka,https://www.imdb.com/review/rw6089755/,Horrible direction from Parambrata.Story lacks no backbone. Wasted 2 hours of my life.,negative
Tiki Taka,https://www.imdb.com/review/rw6095635/,The film follows the life of a street-smart cabbie Raju who accidentally meets a young man from Senegal.,positive
Pareeksha,https://www.imdb.com/review/rw5970710/,"How far a father will go to see his son in a beautiful future is the premises of Pareeksha.
Prakash Jha comes out from his favourite political zone and beautifully shows us some important issues of our Indian society.Now it is obvious that actor like Adil Hussain always impresses us with his performence. Here is also the same. He is such a versatile actor. Good to see Priyanka Bose after 2016 film Lion. Sanjay Suri in his small role is also commendable.",negative
Pareeksha,https://www.imdb.com/review/rw5970949/,"What a movie.... Thank u prakash sir.....
Hatsoff adil Hussain 👌👌👌👌👌👌",positive
Ram Singh Charlie,https://www.imdb.com/review/rw6034895/,"There were times when Circus was one of the best source of entertainment for a weekend fun - watching clowns, acrobats, dancers, hoopers, tightrope walkers, jugglers and magicians perform various antics who kept us engaged. However, with the advent of smartphones and other gadget, circus shows took a back-seat. Ram Singh Charlie,premiered today, gives a harsh reality of the performers, who bring smile on our face, but become butt of jokes outside the world of circus.Ram Singh Charlie tells the story of a circus artist, Ram Singh (Kumud Mishra) whose life turns topsy-turvy when the owner of the Jango Circus decides to shut it down owing to the unbearable losses. Ram Singh and his family is transformed into out-of-circus world where he struggles to make the end meet. Ram Singh does all the odd jobs under the sun and swear to start his own circus one day but fate has its own story to tell..Directed by Nitin Kakkar, who made the hilarious Filmistaan and Jawaani Jaaneman, steps into the different world of circus which gave us a wonderful memory of our childhood during the 90's days when it was running to packed houses. However, with technology taking over in form of electronic gadgets, audience showed little interest and circus almost died down.Ram Singh Charlie opens in a flashback mode when the world of a talented artist collapses and his struggle period begins who has no other skills to survive. To make the ends meet, he does all odd jobs ranging from cartoon character to make kids birthday party exciting, hand-rickshaw puller and car-cleaning guy in the hot and humid condition of Kolkata. It is only when he performs at the Father Day event at his son's school, he realizes that he is meant to entertain and would do anything to bring up his own circus. Till this point, the film keeps you engaged but an event when one of his ex-colleague is physically assaulted halts the pace of the film. Here after, the film loses the focus and becomes a melodrama, which could have better executed until the climax. Despite the shortcomings, the outstanding effort by Nitin Kakkar and writer Sharib Hashmi could not be overlooked. After Mera Naam Joker and DD 90's serial Circus, not much attempts were made revolving around the lives of artists in the colorful world of circus. Ram Singh Charlie shows how difficult it becomes for the circus artists in the real world due to their physical appearances and shortcomings.Ram Singh Charlie also scores in terms of editing and story line. Though the cinematography, art direction and background score is decent, Ram Singh Charlie is a performance driven film and it is Kumud Mushra who finally proves that he can carry a film on his shoulder, despite playing diverse supporting characters in big-budgeted cinemas. The versatile actor excels in his role as Ram Singh and brings out the emotions whom you will be able to relate. Divya Dutta is another gem of an actor who keeps on surprising with her powerful performances. I liked Farrukh Seyyer in the role of Shah Jehan and he played it confidently.Overall, Ram Singh Charlie works on electrifying performances, strong storyline with a beautiful life lesson - Never Ever Give Up. Encouraging 3/5",negative
Ram Singh Charlie,https://www.imdb.com/review/rw6039790/,"Father is only one who denie own desire for child . A father is always like a joker,,,, whatever life will force to do he will do only for his child . This movie is very well written and everything is different from typical bollywood film. All actors have given brilliant performance . It's content which are appriciable . Music also does well . Plz watch it u will worth it.",positive
Choked: Paisa Bolta Hai,https://www.imdb.com/review/rw5803376/,"I am an Ex-Fan of Kashyap and his last some work has only disappointed me.
Everything about this movie is bad except actor's performances who thought they might shoot into critics lap after doing a Kashyap film.
Kher is a beautiful girl and can land big roles in big movies but she is suffering from actor's problem of trying to prove themselves.
The story is weak and it is like literally no work in done on the screenplay.
Climax is dull and makes you realize that you have been fooled to watch this entire film.. and for what .. for this.
Hurried venture which was made to Mock demonetization but earn money from it by selling it to Netflix on high prices which it obviously doesn't deserve.",negative
Choked: Paisa Bolta Hai,https://www.imdb.com/review/rw5800738/,"Fearless storytelling by Anurag Kashyap, a take on problem a common Indian faces! Beautiful film.",positive
Chintu Ka Birthday,https://www.imdb.com/review/rw5816125/,"No idea why there are so many people going bananas on this movie, it's a decent movie, but sooooo illogical, Yes ! I will put logic here as many people are recommending not to, and also vinay Pathaks character is very irritating",negative
Chintu Ka Birthday,https://www.imdb.com/review/rw5242813/,"First of all A!B i love you
this movie was spectacular a must watch movie",positive
Chaman Bahaar,https://www.imdb.com/review/rw5840293/,"Sonu Nigam's melodious song fits perfectly. Jeetendra Kumar and 5-6 characters done great job. Although the performances and background is similar to Panchayat, the script sometimes looses its grip. The ending is realistic and not like typical bollywood masala which ends with happy or sad way but loopholes in script does not let story succeeded.",negative
Chaman Bahaar,https://www.imdb.com/review/rw5836212/,"It's such a refreshing movie,it lightens up your mood.
Excellence of Jeetu bhaiya is beyond words.
The music is so soothing and perfectly timed.
The cinematography is impressive.
Overall it's a really good watch.",positive
Mrs. Serial Killer,https://www.imdb.com/review/rw5695131/,"Overacting, we used see such brilliant movies like Andhadhun but this looks too weak",negative
Mrs. Serial Killer,https://www.imdb.com/review/rw5695024/,You can't make a good content without good actors.,positive
Ghoomketu,https://www.imdb.com/review/rw5812884/,I m a big fan of anurag kashyap movies but this surely disappointed me !! It was like a making gone wrong and no purpose in the story line. Nonsense movie,negative
Ghoomketu,https://www.imdb.com/review/rw5771940/,"Over Acting 10/10
Story- very interesting and relatable
Direction nice and funny",positive
Mee Raqsam,https://www.imdb.com/review/rw6017058/,"Giving it 2 stars - 1 for the story & emotion behind it and 2nd for the music/lyrics.Yes the daughter & father bonding was absolutely beautiful to watch and the fact that art has no religion or boundaries and one has to pursue one's dreams which means there will be a lot of sacrifices and a heavy price to pay.But there is a way of telling any story - creating a feature film demands a lot more. It could have been due to the fact that this film did not get enough finance to hire the right people in the production team.The lead character Maryam did not seem to have to learn a single step, it was just as if she was born with it - which doesn't happen, I cringed at the lack of struggle shown.
In the opening scene Maryam's mother performs in front of her for a minute and dies suddenly for absolutely no reason - weakness of the screenplay. An intelligent viewer would demand a better explanation no matter how short.
Saleem, the tailor and Maryam's father cannot even afford to buy 2 kilograms of sugar although he manages to afford paying for her dance school fees, the struggle & effort to earn that money or the source where he arranged it from would have connected the dots.
The girl who played Maryam might be a talented young dancer herself and hence selected to play this character but the accent coach should have worked a little harder to make her pronounce the word ""Khaala"" correctly - it was quite irritating to hear incorrect throughout the movie. I expected something better from people like Baba and Shabana Azmi being behind this project.
And what about her being the only girl wearing a head scarf, it would have made more sense if other Muslim females including her aunt and cousins and those Muslim girls who featured in the sewing class scene were made to wear some ""burqa"" or ""hijaab"" or a head scarf.
Editing, Cinematography & Dialogues were decent enough.
In the acting department of course Danish Hussain playing Salim and Shraddha Kaul playing the aunt own this movie - they were both absolutely brilliant.
And the great Naseeruddin Shah - well - they needed somebody to market and sell the film with.",negative
Mee Raqsam,https://www.imdb.com/review/rw6074784/,Heartfelt and full of love and warmth. Family movie. Highly recommend!,positive
Dhoosarit - the Grey,https://www.imdb.com/review/rw6143270/,"It was suppose to be an art movie, but the art was missing in most part. Pace is so slow you may take a nap in between. It seems a one liner story. Acting was ok in parts. Save your time, and easily skip it",negative
Dhoosarit - the Grey,https://www.imdb.com/review/rw6131637/,"Accidentally found this new film, Definitely a must watch for everyone.",positive
Operation Parindey,https://www.imdb.com/review/rw5570372/,"No start, no end, no story in between, childish climax. Is there a sequel? Or a prequel? Or anything at all that can make sense for this movie's existence?",negative
Operation Parindey,https://www.imdb.com/review/rw5604032/,"It's more of a short film, Amit sadh has evolved as an actor and is getting better with every piece of work, it should have been made as a web series because the cast looked good and everyone played their characters well also it was interesting but it started very fast and finished fast as well wished to see more work from the characters in this film.",positive
Bamfaad,https://www.imdb.com/review/rw5912906/,'Bamfaad' is a passionate love story of Naate and Neelam who meet accidentally and fall in love. Interesting.,negative
Bamfaad,https://www.imdb.com/review/rw5912906/,'Bamfaad' is a passionate love story of Naate and Neelam who meet accidentally and fall in love. Interesting.,positive
Maska,https://www.imdb.com/review/rw5590702/,"Shirley's acting was boring and the role was so annoying. The main actor, Rumi, is as bad actor as he was showing Rumi as a hero. No life in the whole movie . This is a perfect example of how a movie should not be made.",negative
Maska,https://www.imdb.com/review/rw5581560/,"I have never seen such an amazing film since I saw Maska. Maska encompasses friendships, hardships, hopes, and dreams. And what is so great about the movie is that it moves you, it gives you hope.It is a simple film, yet it has an everlasting message.khavanu, pivanu, majja ni life (life of eating, drinking & fun)!Best Performers :- Shirley Setia & Manisha Koirala
Amazing Direction. Good Music.
Loved it! <3",positive
Virgin Bhanupriya,https://www.imdb.com/review/rw5927318/,"Really awesome work from all the cast,
Excellent subject too!
Shown everything very humorously,
You won't get bore even for a single second!Very entertaining 👌👌👌👌
Great Performance, music & direction too.👍🏻👍🏻",negative
Virgin Bhanupriya,https://www.imdb.com/review/rw5927318/,"Really awesome work from all the cast,
Excellent subject too!
Shown everything very humorously,
You won't get bore even for a single second!Very entertaining 👌👌👌👌
Great Performance, music & direction too.👍🏻👍🏻",positive
My Client's Wife,https://www.imdb.com/review/rw5970857/,"The film apparently resembles the loud filmmaking of RGV in his cult thriller ""Kaun"". Sometimes the film seems like an example of bad filmmaking with loud bgms and dialogues which is written like a CID TV show. The film deserves some credit the way it unfolds itself and despite being loud it keeps you guessing. The frequent dutch angels reminds you of the old hindi thriller films .The film lacks good or even decent editing but maybe the budget is the reason behind that .The film although revolves around a family but it completely deviates from the exploring the main characters and also several key aspects of the film is ignored. The film invests all it's attention to bring in the twist in the end in the most bizarre way. At first the twist may shock you or even to some extent impress you but when they try to match the dots to justify the twist you will remain unsatisfied .The twist may confuse you in two ways either it's completely lame or shockingly well made. The performance from Anjali Patil is one of the few bright spots of the film,her performance is what keeps you engaged throughout but Sharib Hasmi and Abhimanyu Singh are not utilized properly although they tried their best.
6/10",negative
My Client's Wife,https://www.imdb.com/review/rw5957405/,"This is what happens when a brilliant story meets brilliant acting and fantastic direction. This movie will bind you till the end and in the climax you'll be shocked of what actually happened. Abhimanyu Singh is strong as usual but Anjali Patil and Sharib Hashmi both have done a great job with their roles. Writer and director of the movie Prabhakar Pant has made some fantastic short movies before that i have watched but this one is way too good. Must say, it's a one time watch for sure.",positive
No Man's Truth,https://www.imdb.com/review/rw6140793/,Don't waste your time watching it. Bad acting. Plot is weak.,negative
No Man's Truth,https://www.imdb.com/review/rw5920649/,"I have seen this movie in Jaipur International Film Festival and I think this is a must watch movie. It shows how Different people react to different situations. This movie is made to create and awareness in the society against ragging and respecting other's point of view.
Loved watching it.
I wish all the success for this movie.",positive
Ateet,https://www.imdb.com/review/rw5739844/,Not at all recommended. I don't know how come a director can think of such a script. Please don't waste time.,negative
Ateet,https://www.imdb.com/review/rw5667530/,"Its a nice thriller movie. i don't know why people have not liked it. When same thing have been shown in any Hollywood movie people don't get tired of appeasing it.
This is hypocrisy of Indian viewers. I found it a decent well written movie. cast and crew is very well aware what they are writing and doing.
Story line very nice. I found the thrill till the last. I will recommend everyone to watch this movie.",positive
I Know You,https://www.imdb.com/review/rw5892327/,I wasted 2 hours of my life that i will never get back. Don't watch this movie even if you are in a prison.,negative
I Know You,https://www.imdb.com/review/rw6020438/,It's a good Horror movie well directed and performance.,positive
The Kashmir Files,https://www.imdb.com/review/rw6133483/,Well directed with all facts intact ..see it if you want to know the truth and exodus of kashmiri pandits ..,negative
The Kashmir Files,https://www.imdb.com/review/rw6133483/,Well directed with all facts intact ..see it if you want to know the truth and exodus of kashmiri pandits ..,positive
Wanton,https://www.imdb.com/review/rw5609708/,Great acting by the actors and a good direction by the director.,negative
Wanton,https://www.imdb.com/review/rw5609536/,Director did fantastic job well played characters by all actor must watch movie and enjoy the ride of thrill good luck wanton team,positive
The Evening Show,https://www.imdb.com/review/rw6146217/,"A boy has secret lifestyle no one can understand
I really like this shirt movie hope this movie will got the highest ratings",negative
The Evening Show,https://www.imdb.com/review/rw6146217/,"A boy has secret lifestyle no one can understand
I really like this shirt movie hope this movie will got the highest ratings",positive
Dheet Patangey,https://www.imdb.com/review/rw5721422/,Very boaring. Not a single scene connect u. Only good thing is music,negative
Dheet Patangey,https://www.imdb.com/review/rw5604578/,"Glad that i watched this very +ve film. It changes your way to look at the life profoundly, in a fun way. Excellent witty dialogs. All 4 charcters act well. Story is great, sometimes becomes lyrical. Just go and watch it. Refreshing.",positive
